year,category,rank,player,team,value
1980,,Slugging Average,Mike Schmidt,Philadelphia,.624
1980,,Stolen Bases,Ron LeFlore,Montreal,97
1980,,Total Bases,Mike Schmidt,Philadelphia,342
1980,,Triples,Omar Moreno,Pittsburgh,13
1980,,Statistic,Name(s),Team(s),#
1980,,Statistic,Name(s),Team(s),#
1980,,Complete Games,Steve Rogers,Montreal,14
1980,,ERA,Don Sutton,Los Angeles,2.20
1980,,Games,Dick Tidrow,Chicago,84
1980,,Saves,Bruce Sutter,St. Louis,28
1980,,Shutouts,Jerry Reuss,Los Angeles,6
1980,,Strikeouts,Steve Carlton,Philadelphia,286
1980,,Winning Percentage,Jim Bibby,Pittsburgh,.760
1980,,Wins,Steve Carlton,Philadelphia,24
1980,,Statistic,Name(s),Team(s),#
1981,,Statistic,Name(s),Team(s),#
1981,,Base on Balls,Mike Schmidt,Philadelphia,73
1981,,Batting Average,Bill Madlock,Pittsburgh,.341
1981,,Doubles,Bill Buckner,Chicago,35
1981,,Hits,Pete Rose,Philadelphia,140
1981,,Home Runs,Mike Schmidt,Philadelphia,31
1981,,On Base Percentage,Mike Schmidt,Philadelphia,.439
1981,,RBI,Mike Schmidt,Philadelphia,91
1981,,Runs,Mike Schmidt,Philadelphia,78
1981,,Slugging Average,Mike Schmidt,Philadelphia,.644
1981,,Stolen Bases,Tim Raines,Montreal,71
1981,,Total Bases,Mike Schmidt,Philadelphia,.228
1981,,Triples,Craig Reynolds,Houston,12
1981,,Statistic,Name(s),Team(s),#
1981,,Statistic,Name(s),Team(s),#
1981,,Complete Games,Fernando Valenzuela,Los Angeles,11
1981,,ERA,Nolan Ryan,Houston,1.69
1981,,Games,Gary Lucas,San Diego,57
1981,,Saves,Bruce Sutter,St. Louis,25
1981,,Shutouts,Fernando Valenzuela,Los Angeles,8
1981,,Strikeouts,Fernando Valenzuela,Los Angeles,180
1981,,Winning Percentage,Tom Seaver,Cincinnati,.875
1981,,Wins,Tom Seaver,Cincinnati,14
1981,,Statistic,Name(s),Team(s),#
1982,,Statistic,Name(s),Team(s),#
1982,,Base on Balls,Mike Schmidt,Philadelphia,107
1982,,Batting Average,Al Oliver,Montreal,.331
1982,,Doubles,Al Oliver,Montreal,43
1982,,Hits,Al Oliver,Montreal,204
1982,,Home Runs,Dave Kingman,New York,37
1982,,On Base Percentage,Mike Schmidt,Philadelphia,.407
1982,,RBI,Dale Murphy,Atlanta,109
1982,,Runs,Lonnie Smith,St. Louis,120
1982,,Slugging Average,Mike Schmidt,Philadelphia,.547
1982,,Stolen Bases,Tim Raines,Montreal,78
1982,,Total Bases,Al Oliver,Montreal,317
1982,,Triples,Dickie Thon,Houston,10
1982,,Statistic,Name(s),Team(s),#
1982,,Statistic,Name(s),Team(s),#
1982,,Complete Games,Steve Carlton,Philadelphia,19
1982,,ERA,Steve Rogers,Montreal,2.40
1982,,Games,Kent Tekulve,Pittsburgh,85
1982,,Saves,Bruce Sutter,St. Louis,36
1982,,Shutouts,Steve Carlton,Philadelphia,6
1982,,Strikeouts,Steve Carlton,Philadelphia,286
1982,,Winning Percentage,Phil Niekro,Atlanta,.810
1982,,Wins,Steve Carlton,Philadelphia,23
1982,,Statistic,Name(s),Team(s),#
1983,,Statistic,Name(s),Team(s),#
1983,,Base on Balls,Mike Schmidt,Philadelphia,128
1983,,Batting Average,Bill Madlock,Pittsburgh,.323
1983,,Doubles,Bill Buckner,Chicago,38
1983,,Hits,Jose Cruz,Houston,189
1983,,Home Runs,Mike Schmidt,Philadelphia,40
1983,,On Base Percentage,Mike Schmidt,Philadelphia,.402
1983,,RBI,Dale Murphy,Atlanta,121
1983,,Runs,Tim Raines,Montreal,133
1983,,Slugging Average,Dale Murphy,Atlanta,.540
1983,,Stolen Bases,Tim Raines,Montreal,90
1983,,Total Bases,Andre Dawson,Montreal,341
1983,,Triples,Brett Butler,Atlanta,13
1983,,Statistic,Name(s),Team(s),#
1983,,Statistic,Name(s),Team(s),#
1983,,Complete Games,Mario Soto,Cincinnati,18
1983,,ERA,Atlee Hammaker,San Francisco,2.25
1983,,Games,Bill Campbell,Chicago,82
1983,,Saves,Lee Smith,Chicago,29
1983,,Shutouts,Steve Rogers,Montreal,5
1983,,Strikeouts,Steve Carlton,Philadelphia,275
1983,,Winning Percentage,John Denny,Philadelphia,.760
1983,,Wins,John Denny,Philadelphia,19
1983,,Statistic,Name(s),Team(s),#
1984,,Statistic,Name(s),Team(s),#
1984,,Base on Balls,Gary Matthews,Chicago,103
1984,,Batting Average,Tony Gwynn,San Diego,.351
1984,,Doubles,Tim Raines,Montreal,38
1984,,Hits,Tony Gwynn,San Diego,213
1984,,Home Runs,Dale Murphy,Atlanta,36
1984,,On Base Percentage,Gary Matthews,Chicago,.417
1984,,RBI,Gary Carter,Montreal,106
1984,,Runs,Ryne Sandberg,Chicago,114
1984,,Slugging Average,Dale Murphy,Atlanta,.547
1984,,Stolen Bases,Tim Raines,Montreal,75
1984,,Total Bases,Dale Murphy,Atlanta,332
1984,,Triples,Juan Samuel,Philadelphia,19
1984,,Statistic,Name(s),Team(s),#
1984,,Statistic,Name(s),Team(s),#
1984,,Complete Games,Mario Soto,Cincinnati,13
1984,,ERA,Alejandro Pena,Los Angeles,2.48
1984,,Games,Ted Power,Cincinnati,78
1984,,Saves,Bruce Sutter,St. Louis,45
1984,,Shutouts,Joaquin Andujar,St. Louis,4
1984,,Strikeouts,Dwight Gooden,New York,276
1984,,Winning Percentage,Rick Sutcliffe,Chicago,.941
1984,,Wins,Joaquin Andujar,St. Louis,20
1984,,Statistic,Name(s),Team(s),#
1985,,Statistic,Name(s),Team(s),#
1985,,Base on Balls,Dale Murphy,Atlanta,90
1985,,Batting Average,Willie McGee,St. Louis,.353
1985,,Doubles,Dave Parker,Cincinnati,42
1985,,Hits,Willie McGee,St. Louis,216
1985,,Home Runs,Dale Murphy,Atlanta,37
1985,,On Base Percentage,Pedro Guerrero,Los Angeles,.425
1985,,RBI,Dave Parker,Cincinnati,125
1985,,Runs,Dale Murphy,Atlanta,118
1985,,Slugging Average,Pedro Guerrero,Los Angeles,.577
1985,,Stolen Bases,Vince Coleman,St. Louis,110
1985,,Total Bases,Dave Parker,Cincinnati,350
1985,,Triples,Willie McGee,St. Louis,18
1985,,Statistic,Name(s),Team(s),#
1985,,Statistic,Name(s),Team(s),#
1985,,Complete Games,Dwight Gooden,New York,16
1985,,ERA,Dwight Gooden,New York,1.53
1985,,Games,Tim Burke,Montreal,78
1985,,Saves,Jeff Reardon,Montreal,41
1985,,Shutouts,John Tudor,St. Louis,10
1985,,Strikeouts,Dwight Gooden,New York,268
1985,,Winning Percentage,Orel Hershiser,Los Angeles,.864
1985,,Wins,Dwight Gooden,New York,24
1985,,Statistic,Name(s),Team(s),#
1986,,Statistic,Name(s),Team(s),#
1986,,Base on Balls,Keith Hernandez,New York,94
1986,,Batting Average,Tim Raines,Montreal,.334
1986,,Doubles,Von Hayes,Philadelphia,46
1986,,Hits,Tony Gwynn,San Diego,211
1986,,Home Runs,Mike Schmidt,Philadelphia,37
1986,,On Base Percentage,Tim Raines,Montreal,.415
1986,,RBI,Mike Schmidt,Philadelphia,119
1986,,Runs,Tony Gwynn,San Diego,107
1986,,Slugging Average,Mike Schmidt,Philadelphia,.547
1986,,Stolen Bases,Vince Coleman,St. Louis,107
1986,,Total Bases,Dave Parker,Cincinnati,304
1986,,Triples,Mitch Webster,Montreal,13
1986,,Statistic,Name(s),Team(s),#
1986,,Statistic,Name(s),Team(s),#
1986,,Complete Games,Fernando Valenzuela,Los Angeles,20
1986,,ERA,Mike Scott,Houston,2.22
1986,,Games,Craig Lefferts,San Diego,83
1986,,Saves,Todd Worrell,St. Louis,36
1986,,Shutouts,Bob Knepper,Houston,5
1986,,Strikeouts,Mike Scott,Houston,306
1986,,Winning Percentage,Bob Ojeda,New York,.783
1986,,Wins,Fernando Valenzuela,Los Angeles,21
1986,,Statistic,Name(s),Team(s),#
1987,,Statistic,Name(s),Team(s),#
1987,,Base on Balls,Jack Clark,St. Louis,136
1987,,Batting Average,Tony Gwynn,San Diego,.370
1987,,Doubles,Tim Wallach,Montreal,42
1987,,Hits,Tony Gwynn,San Diego,218
1987,,Home Runs,Andre Dawson,Chicago,49
1987,,On Base Percentage,Jack Clark,St. Louis,.461
1987,,RBI,Andre Dawson,Chicago,137
1987,,Runs,Tim Raines,Montreal,123
1987,,Slugging Average,Jack Clark,St. Louis,.597
1987,,Stolen Bases,Vince Coleman,St. Louis,109
1987,,Total Bases,Andre Dawson,Chicago,353
1987,,Triples,Juan Samuel,Philadelphia,15
1987,,Statistic,Name(s),Team(s),#
1987,,Statistic,Name(s),Team(s),#
1987,,Complete Games,Rick Reuschel,San Francisco,12
1987,,ERA,Nolan Ryan,Houston,2.76
1987,,Games,Kent Tekulve,Philadelphia,90
1987,,Saves,Steve Bedrosian,Philadelphia,40
1987,,Shutouts,Rick Reuschel,San Francisco,4
1987,,Strikeouts,Nolan Ryan,Houston,270
1987,,Winning Percentage,Dwight Gooden,New York,.682
1987,,Wins,Rick Sutcliffe,Chicago,18
1987,,Statistic,Name(s),Team(s),#
1998,,Statistic,Name,Team,#
1998,,Base on Balls,Mark McGwire,St. Louis,162
1998,,Batting Average,Larry Walker,Colorado,.363
1998,,Doubles,Craig Biggio,Houston,51
1998,,Hits,Dante Bichette,Colorado,219
1998,,Home Runs,Mark McGwire,St. Louis,70
1998,,On Base Percentage,Mark McGwire,St. Louis,.473
1998,,RBI,Sammy Sosa,Chicago,158
1998,,Runs,Sammy Sosa,Chicago,134
1998,,Slugging Average,Mark McGwire,St. Louis,.752
1998,,Stolen Bases,Tony Womack,Pittsburgh,58
1998,,Total Bases,Sammy Sosa,Chicago,416
1998,,Triples,David Dellucci,Arizona,12
1998,,Statistic,Name,Team,#
1998,,Statistic,Name,Team,#
1998,,Complete Games,Curt Schilling,Philadelphia,15
1998,,ERA,Greg Maddux,Atlanta,2.22
1998,,Games,Rod Beck,Chicago,81
1998,,Saves,Trevor Hoffman,San Diego,53
1998,,Shutouts,Greg Maddux,Atlanta,5
1998,,Strikeouts,Curt Schilling,Philadelphia,300
1998,,Winning Percentage,John Smoltz,Atlanta,.850
1998,,Wins,Tom Glavine,Atlanta,20
1998,,Statistic,Name,Team,#
1999,,Statistic,Name,Team,#
1999,,Base on Balls,Jeff Bagwell,Houston,149
1999,,Batting Average,Larry Walker,Colorado,.379
1999,,Doubles,Craig Biggio,Houston,56
1999,,Hits,Luis Gonzalez,Arizona,206
1999,,Home Runs,Mark McGwire,St. Louis,65
1999,,On Base Percentage,Larry Walker,Colorado,.458
1999,,RBI,Mark McGwire,St. Louis,147
1999,,Runs,Jeff Bagwell,Houston,143
1999,,Slugging Average,Larry Walker,Colorado,.710
1999,,Stolen Bases,Tony Womack,Arizona,72
1999,,Total Bases,Sammy Sosa,Chicago,397
1999,,Triples,Bobby Abreu,Philadelphia,11
1999,,Statistic,Name,Team,#
1999,,Statistic,Name,Team,#
1999,,Complete Games,Randy Johnson,Arizona,12
1999,,ERA,Randy Johnson,Arizona,2.48
1999,,Games,Steve Kline,Montreal,82
1999,,Saves,Ugueth Urbina,Montreal,41
1999,,Shutouts,Andy Ashby,San Diego,3
1999,,Strikeouts,Randy Johnson,Arizona,364
1999,,Winning Percentage,Mike Hampton,Houston,.846
1999,,Wins,Mike Hampton,Houston,22
1999,,Statistic,Name,Team,#
2000,,Statistic,Name,Team,#
2000,,Base on Balls,Barry Bonds,San Francisco,117
2000,,Batting Average,Todd Helton,Colorado,.372
2000,,Doubles,Todd Helton,Colorado,59
2000,,Hits,Todd Helton,Colorado,216
2000,,Home Runs,Sammy Sosa,Chicago,50
2000,,On Base Percentage,Todd Helton,Colorado,.463
2000,,RBI,Todd Helton,Colorado,147
2000,,Runs,Jeff Bagwell,Houston,152
2000,,Slugging Average,Todd Helton,Colorado,.698
2000,,Stolen Bases,Luis Castillo,Florida,62
2000,,Total Bases,Todd Helton,Colorado,405
2000,,Triples,Tony Womack,Arizona,14
2000,,Statistic,Name,Team,#
2000,,Statistic,Name,Team,#
2000,,Complete Games,Randy Johnson,Arizona,8
2000,,ERA,Kevin Brown,Los Angeles,2.58
2000,,Games,Steve Kline,St. Louis,83
2000,,Saves,Antonio Alfonseca,Florida,45
2000,,Shutouts,Greg Maddux,Atlanta,3
2000,,Strikeouts,Randy Johnson,Arizona,347
2000,,Winning Percentage,Randy Johnson,Arizona,.731
2000,,Wins,Tom Glavine,Atlanta,21
2000,,Statistic,Name,Team,#
2001,,Statistic,Name,Team,#
2001,,Base on Balls,Barry Bonds,San Francisco,177
2001,,Batting Average,Larry Walker,Colorado,.350
2001,,Doubles,Lance Berkman,Houston,55
2001,,Hits,Rich Aurilia,San Francisco,206
2001,,Home Runs,Barry Bonds,San Francisco,73
2001,,On Base Percentage,Barry Bonds,San Francisco,.515
2001,,RBI,Sammy Sosa,Chicago,160
2001,,Runs,Sammy Sosa,Chicago,146
2001,,Slugging Average,Barry Bonds,San Francisco,.863
2001,,Stolen Bases,Juan Pierre,Colorado,46
2001,,Total Bases,Sammy Sosa,Chicago,425
2001,,Triples,Jimmy Rollins,Philadelphia,12
2001,,Statistic,Name,Team,#
2001,,Statistic,Name,Team,#
2001,,Complete Games,Curt Schilling,Arizona,6
2001,,ERA,Randy Johnson,Arizona,2.49
2001,,Games,Steve Kline,St. Louis,89
2001,,Saves,Robb Nen,San Francisco,45
2001,,Shutouts,Greg Maddux,Atlanta,3
2001,,Strikeouts,Randy Johnson,Arizona,372
2001,,Winning Percentage,Roy Oswalt,Houston,.824
2001,,Wins,Curt Schilling,Arizona,22
2001,,Statistic,Name,Team,#
2002,,Statistic,Name,Team,#
2002,,Base on Balls,Barry Bonds,San Francisco,198
2002,,Batting Average,Barry Bonds,San Francisco,.370
2002,,Doubles,Bobby Abreu,Philadelphia,50
2002,,Hits,Vladimir Guerrero,Montreal,206
2002,,Home Runs,Sammy Sosa,Chicago,49
2002,,On Base Percentage,Barry Bonds,San Francisco,.582
2002,,RBI,Lance Berkman,Houston,128
2002,,Runs,Sammy Sosa,Chicago,122
2002,,Slugging Average,Barry Bonds,San Francisco,.799
2002,,Stolen Bases,Luis Castillo,Florida,48
2002,,Total Bases,Vladimir Guerrero,Montreal,364
2002,,Triples,Jimmy Rollins,Philadelphia,10
2002,,Statistic,Name,Team,#
2002,,Statistic,Name,Team,#
2002,,Complete Games,Randy Johnson,Arizona,8
2002,,ERA,Randy Johnson,Arizona,2.32
2002,,Games,Paul Quantrill,Los Angeles,86
2002,,Saves,John Smoltz,Atlanta,55
2002,,Shutouts,A.J. Burnett,Florida,5
2002,,Strikeouts,Randy Johnson,Arizona,334
2002,,Winning Percentage,Randy Johnson,Arizona,.828
2002,,Wins,Randy Johnson,Arizona,24
2002,,Statistic,Name,Team,#
2003,,Statistic,Name,Team,#
2003,,Base on Balls,Barry Bonds,San Francisco,148
2003,,Batting Average,Albert Pujols,St. Louis,.359
2003,,Doubles,Albert Pujols,St. Louis,51
2003,,Hits,Albert Pujols,St. Louis,212
2003,,Home Runs,Jim Thome,Philadelphia,47
2003,,On Base Percentage,Barry Bonds,San Francisco,.529
2003,,RBI,Preston Wilson,Colorado,141
2003,,Runs,Albert Pujols,St. Louis,137
2003,,Slugging Average,Barry Bonds,San Francisco,.749
2003,,Stolen Bases,Juan Pierre,Florida,45
2003,,Total Bases,Albert Pujols,St. Louis,394
2003,,Triples,Steve Finley,Arizona,10
2003,,Statistic,Name,Team,#
2003,,Statistic,Name,Team,#
2003,,Complete Games,Livan Hernandez,Montreal,8
2003,,ERA,Jason Schmidt,San Francisco,2.34
2003,,Games,Paul Quantrill,Los Angeles,89
2003,,Saves,Eric Gagne,Los Angeles,55
2003,,Shutouts,Kevin Millwood,Philadelphia,3
2003,,Strikeouts,Kerry Wood,Chicago,266
2003,,Winning Percentage,Jason Schmidt,San Francisco,.773
2003,,Wins,Russ Ortiz,Atlanta,21
2003,,Statistic,Name,Team,#
2004,,Statistic,Name,Team,#
2004,,Base on Balls,Barry Bonds,San Francisco,232
2004,,Batting Average,Barry Bonds,San Francisco,.362
2004,,Doubles,Lyle Overbay,Milwaukee,53
2004,,Hits,Juan Pierre,Florida,221
2004,,Home Runs,Adrian Beltre,Los Angeles,48
2004,,On Base Percentage,Barry Bonds,San Francisco,.609
2004,,RBI,Vinny Castilla,Colorado,131
2004,,Runs,Albert Pujols,St. Louis,133
2004,,Slugging Average,Barry Bonds,San Francisco,.812
2004,,Stolen Bases,Scott Podsednik,Milwaukee,70
2004,,Total Bases,Albert Pujols,St. Louis,389
2004,,Triples,Juan Pierre,Florida,12
2004,,Statistic,Name,Team,#
2004,,Statistic,Name,Team,#
2004,,Complete Games,Livan Hernandez,Montreal,9
2004,,ERA,Jake Peavy,San Diego,2.27
2004,,Games,Jim Brower,San Francisco,89
2004,,Saves,Armando Benitez,Florida,47
2004,,Shutouts,Cory Lidle,Philadelphia,3
2004,,Strikeouts,Randy Johnson,Arizona,290
2004,,Winning Percentage,Roger Clemens,Houston,.818
2004,,Wins,Roy Oswalt,Houston,20
2004,,Statistic,Name,Team,#
2005,,Statistic,Name,Team,#
2005,,Base on Balls,Brian Giles,San Diego,119
2005,,Batting Average,Derrek Lee,Chicago,.335
2005,,Doubles,Derrek Lee,Chicago,50
2005,,Hits,Derrek Lee,Chicago,199
2005,,Home Runs,Andruw Jones,Atlanta,51
2005,,On Base Percentage,Todd Helton,Colorado,.445
2005,,RBI,Andruw Jones,Atlanta,128
2005,,Runs,Albert Pujols,St. Louis,129
2005,,Slugging Average,Derrek Lee,Chicago,.662
2005,,Stolen Bases,Jose Reyes,New York,60
2005,,Total Bases,Derrek Lee,Chicago,393
2005,,Triples,Jose Reyes,New York,17
2005,,Statistic,Name,Team,#
2005,,Statistic,Name,Team,#
2005,,Complete Games,Chris Carpenter,St. Louis,7
2005,,ERA,Roger Clemens,Houston,1.87
2005,,Games,Scott Eyre,San Francisco,86
2005,,Saves,Chad Cordero,Washington,47
2005,,Shutouts,Dontrelle Willis,Florida,5
2005,,Strikeouts,Jake Peavy,San Diego,216
2005,,Winning Percentage,Chris Carpenter,St. Louis,.808
2005,,Wins,Dontrelle Willis,Florida,22
2005,,Statistic,Name,Team,#
2016,,Statistic,Name,Team,#
2016,,Base on Balls,Paul Goldschmidt,Arizona,110
2016,,Batting Average,DJ LeMahieu,Colorado,.348
2016,,Doubles,Daniel Murphy,Washington,47
2016,,Hits,Jean Segura,Arizona,203
2016,,Home Runs,Nolan Arenado,Colorado,41
2016,,On Base Percentage,Joey Votto,Cincinnati,.434
2016,,RBI,Nolan Arenado,Colorado,133
2016,,Runs,Kris Bryant,Chicago,121
2016,,Slugging Average,Daniel Murphy,Washington,.595
2016,,Stolen Bases,Jonathan Villar,Milwaukee,62
2016,,Total Bases,Nolan Arenado,Colorado,352
2016,,Triples,Brandon Crawford,San Francisco,11
2016,,Statistic,Name,Team,#
2016,,Statistic,Name,Team,#
2016,,Complete Games,Johnny Cueto,San Francisco,5
2016,,ERA,Kyle Hendricks,Chicago,2.13
2016,,Games,Brad Hand,San Diego,82
2016,,Saves,Jeurys Familia,New York,51
2016,,Shutouts,Clayton Kershaw,Los Angeles,3
2016,,Strikeouts,Max Scherzer,Washington,284
2016,,Winning Percentage,Jon Lester,Chicago,.792
2016,,Wins,Max Scherzer,Washington,20
2016,,Statistic,Name,Team,#
2017,,Statistic,Name,Team,#
2017,,Base on Balls,Joey Votto,Cincinnati Reds,134
2017,,Batting Average,Charlie Blackmon,Colorado Rockies,.331
2017,,Doubles,Nolan Arenado,Colorado Rockies,43
2017,,Hits,Charlie Blackmon,Colorado Rockies,213
2017,,Home Runs,Giancarlo Stanton,Miami Marlins,59
2017,,On Base Percentage,Joey Votto,Cincinnati Reds,.454
2017,,RBI,Giancarlo Stanton,Miami Marlins,132
2017,,Runs,Charlie Blackmon,Colorado Rockies,137
2017,,Slugging Average,Giancarlo Stanton,Miami Marlins,.631
2017,,Stolen Bases,Dee Gordon,Miami Marlins,60
2017,,Total Bases,Charlie Blackmon,Colorado Rockies,387
2017,,Triples,Charlie Blackmon,Colorado Rockies,14
2017,,Statistic,Name,Team,#
2017,,Statistic,Name,Team,#
2017,,Complete Games,Carlos Martinez,St. Louis Cardinals,2
2017,,ERA,Clayton Kershaw,Los Angeles Dodgers,2.21
2017,,Games,Corey Knebel,Milwaukee Brewers,76
2017,,Saves,Greg Holland,Colorado Rockies,41
2017,,Shutouts,Carlos Martinez,St. Louis Cardinals,2
2017,,Strikeouts,Max Scherzer,Washington Nationals,268
2017,,Winning Percentage,Clayton Kershaw,Los Angeles Dodgers,.818
2017,,Wins,Clayton Kershaw,Los Angeles Dodgers,18
2017,,Statistic,Name,Team,#
2018,,Statistic,Name,Team,#
2018,,Base on Balls,Bryce Harper,Washington Nationals,130
2018,,Batting Average,Christian Yelich,Milwaukee Brewers,.326
2018,,Doubles,Freddie Freeman,Atlanta Braves,44
2018,,Hits,Freddie Freeman,Atlanta Braves,191
2018,,Home Runs,Nolan Arenado,Colorado Rockies,38
2018,,On Base Percentage,Joey Votto,Cincinnati Reds,.417
2018,,RBI,Javier Baez,Chicago Cubs,111
2018,,Runs,Charlie Blackmon,Colorado Rockies,119
2018,,Slugging Average,Christian Yelich,Milwaukee Brewers,.598
2018,,Stolen Bases,Trea Turner,Washington Nationals,43
2018,,Total Bases,Christian Yelich,Milwaukee Brewers,343
2018,,Triples,Ketel Marte,Arizona Diamondbacks,12
2018,,Statistic,Name,Team,#
2018,,Statistic,Name,Team,#
2018,,Complete Games,Michael Foltynewicz,Atlanta Braves,2
2018,,ERA,Jacob deGrom,New York Mets,1.70
2018,,Games,Brad Ziegler,Miami Marlins,82
2018,,Saves,Wade Davis,Colorado Rockies,43
2018,,Shutouts,Patrick Corbin,Arizona Diamondbacks,1
2018,,Strikeouts,Max Scherzer,Washington Nationals,300
2018,,Winning Percentage,Miles Mikolas,St. Louis Cardinals,.818
2018,,Wins,Jon Lester,Chicago Cubs,18
2018,,Statistic,Name,Team,#
2019,,Statistic,Name,Team,#
2019,,Base on Balls,Rhys Hoskins,Philadelphia Phillies,116
2019,,Batting Average,Christian Yelich,Milwaukee Brewers,.329
2019,,Doubles,Anthony Rendon,Washington Nationals,44
2019,,Hits,Ozzie Albies,Atlanta Braves,189
2019,,Home Runs,Pete Alonso,New York Mets,53
2019,,On Base Percentage,Christian Yelich,Milwaukee Brewers,.429
2019,,RBI,Anthony Rendon,Washington Nationals,126
2019,,Runs,Ronald Acuna Jr.,Atlanta Braves,127
2019,,Slugging Average,Christian Yelich,Milwaukee Brewers,.671
2019,,Stolen Bases,Ronald Acuna Jr.,Atlanta Braves,37
2019,,Total Bases,Cody Bellinger,Los Angeles Dodgers,351
2019,,Triples,Eduardo Escobar,Arizona Diamondbacks,10
2019,,Statistic,Name,Team,#
2019,,Statistic,Name,Team,#
2019,,Complete Games,Sandy Alcantara,Miami Marlins,2
2019,,ERA,Hyun-Jin Ryu,Los Angeles Dodgers,2.32
2019,,Games,Alex Claudio,Milwaukee Brewers,83
2019,,Saves,Kirby Yates,San Diego Padres,41
2019,,Shutouts,Sandy Alcantara,Miami Marlins,2
2019,,Strikeouts,Jacob deGrom,New York Mets,255
2019,,Winning Percentage,Walker Buehler,Los Angeles Dodgers,.778
2019,,Wins,Stephen Strasburg,Washington Nationals,18
2019,,Statistic,Name,Team,#
2020,,Statistic,Name,Team,#
2020,,Base on Balls,Bryce Harper,Philadelphia Phillies,49
2020,,Batting Average,Juan Soto,Washington Nationals,.351
2020,,Doubles,Freddie Freeman,Atlanta Braves,23
2020,,Hits,Trea Turner,Washington Nationals,78
2020,,Home Runs,Marcell Ozuna,Atlanta Braves,18
2020,,On Base Percentage,Juan Soto,Washington Nationals,.490
2020,,RBI,Marcell Ozuna,Atlanta Braves,56
2020,,Runs,Freddie Freeman,Atlanta Braves,51
2020,,Slugging Average,Juan Soto,Washington Nationals,.695
2020,,Stolen Bases,Trevor Story,Colorado Rockies,15
2020,,Total Bases,Marcell Ozuna,Atlanta Braves,145
2020,,Triples,Trevor Story,Colorado Rockies,4
2020,,Statistic,Name,Team,#
2020,,Statistic,Name,Team,#
2020,,Complete Games,Trevor Bauer,Cincinnati Reds,2
2020,,ERA,Trevor Bauer,Cincinnati Reds,1.73
2020,,Games,Tyler Rogers,San Francisco Giants,29
2020,,Saves,Josh Hader,Milwaukee Brewers,13
2020,,Shutouts,Trevor Bauer,Cincinnati Reds,2
2020,,Strikeouts,Jacob deGrom,New York Mets,104
2020,,Winning Percentage,Max Fried,Atlanta Braves,1.000
2020,,Wins,Yu Darvish,Chicago Cubs,8
2020,,Statistic,Name,Team,#
1883,,Statistic,Name(s),Team(s),#
1883,,Base on Balls,Ecky Stearns,Baltimore,34
1883,,Batting Average,Ed Swartwood,Pittsburgh,.357
1883,,Doubles,Harry Stovey,Philadelphia,31
1883,,Hits,Ed Swartwood,Pittsburgh,147
1883,,Home Runs,Harry Stovey,Philadelphia,14
1883,,On Base Percentage,Ed Swartwood,Pittsburgh,.394
1883,,RBI,Data Not Kept,n/a,n/a
1883,,Runs,Harry Stovey,Philadelphia,110
1883,,Slugging Average,Harry Stovey,Philadelphia,.506
1883,,Total Bases,Harry Stovey,Philadelphia,213
1883,,Triples,Pop Smith,Columbus,17
1883,,Statistic,Name(s),Team(s),#
1883,,Statistic,Name(s),Team(s),#
1883,,Complete Games,Tim Keefe,New York,68
1883,,ERA,Will White,Cincinnati,2.09
1883,,Games,Tim Keefe,New York,68
1883,,Saves,Bob Barr,Pittsburgh,1
1883,,Shutouts,Jumbo McGinnis,St. Louis,6
1883,,Strikeouts,Tim Keefe,New York,359
1883,,Winning Percentage,Tony Mullane,St. Louis,.700
1883,,Wins,Will White,Cincinnati,43
1883,,Statistic,Name(s),Team(s),#
1884,,Statistic,Name(s),Team(s),#
1884,,Base on Balls,Candy Nelson,New York,74
1884,,Batting Average,Dave Orr,New York,.354
1884,,Doubles,Sam Barkley,Toledo,39
1884,,Hits,Dave Orr,New York,162
1884,,Home Runs,John Reilly,Cincinnati,11
1884,,On Base Percentage,Charley Jones,Cincinnati,.376
1884,,RBI,Data Not Kept,n/a,n/a
1884,,Runs,Harry Stovey,Philadelphia,124
1884,,Slugging Average,John Reilly,Cincinnati,.551
1884,,Total Bases,Dave Orr,New York,247
1884,,Triples,Harry Stovey,Philadelphia,23
1884,,Statistic,Name(s),Team(s),#
1884,,Statistic,Name(s),Team(s),#
1884,,Complete Games,Guy Hecker,Louisville,72
1884,,ERA,Guy Hecker,Louisville,1.80
1884,,Games,Guy Hecker,Louisville,75
1884,,Saves,Oyster Burns,Baltimore,1
1884,,Shutouts,Tony Mullane,Toledo,7
1884,,Strikeouts,Guy Hecker,Louisville,385
1884,,Winning Percentage,Tip O'Neill,St. Louis,.733
1884,,Wins,Guy Hecker,Louisville,52
1884,,Statistic,Name(s),Team(s),#
1885,,Statistic,Name(s),Team(s),#
1885,,Base on Balls,Candy Nelson,New York,61
1885,,Batting Average,Pete Browning,Louisville,.362
1885,,Doubles,Henry Larkin,Philadelphia,37
1885,,Hits,Pete Browning,Louisville,174
1885,,Home Runs,Harry Stovey,Philadelphia,13
1885,,On Base Percentage,Pete Browning,Louisville,.393
1885,,RBI,Frank Fennelly,Cincinnati,89
1885,,Runs,Harry Stovey,Philadelphia,130
1885,,Slugging Average,Dave Orr,New York,.543
1885,,Total Bases,Pete Browning,Louisville,25
1885,,Triples,Dave Orr,New York,21
1885,,Statistic,Name(s),Team(s),#
1885,,Statistic,Name(s),Team(s),#
1885,,Complete Games,Ed Morris,Pittsburgh,63
1885,,ERA,Bob Caruthers,St. Louis,2.07
